date,trips between parishes,users making trips between parishes,users making trips,total trips,users present,entrances,stay home users,portion of users staying home,fraction of people not staying home,trips between parishes from La Massana,trips between parishes from Sant Julià de Lòria,90th percentile trips,indoor interaction potential,outdoor interaction potential,interaction potential
2020-04-09,45163,29813,35041,281403,60593.0,470.0,17069,0.3481195953662914,0.6518804046337086,4782,2345,14.0,146378.81547619044,180572.2261904762,326951.0416666666
2020-04-10,34352,21721,30611,244652,60437.0,326.0,19965,0.4077402226079853,0.5922597773920146,3844,1386,13.0,111528.49404761904,152738.93650793654,264267.43055555556
2020-04-11,33251,21010,30117,237539,60438.0,302.0,20374,0.4163226940210062,0.5836773059789938,3708,1393,13.0,104520.52976190476,143368.27579365086,247888.8055555556
2020-04-12,30232,18142,28253,227212,60436.0,258.0,21736,0.44417197972862515,0.5558280202713748,3228,1135,13.0,100643.98809523806,145444.47023809527,246088.45833333328
2020-04-13,31793,19323,28645,227669,60516.0,305.0,21491,0.43902189900310506,0.5609781009968949,3332,1164,13.0,99738.49404761904,152957.70039682544,252696.1944444445
2020-04-14,47467,31321,35595,285251,60815.0,518.0,16699,0.34060823627796927,0.6593917637220308,4898,2491,14.0,141739.3333333333,181262.15277777772,323001.48611111107
2020-04-15,48457,31710,35764,287164,61024.0,558.0,16591,0.3379848435462842,0.6620151564537158,5162,2519,14.0,145253.17460317462,184300.86706349207,329554.04166666674
2020-04-16,48832,32001,36775,295597,61216.0,598.0,15908,0.3239126893630884,0.6760873106369116,5140,2517,15.0,142781.5734126984,185547.66269841266,328329.23611111107
2020-04-17,50491,33602,36933,297895,61551.0,665.0,15963,0.32456996462120286,0.6754300353787972,5109,2789,15.0,144575.14484126985,179271.1329365079,323846.2777777777
2020-04-18,39760,25628,33516,261310,61611.0,431.0,18130,0.3686832740213523,0.6313167259786476,4265,1770,13.0,115322.71626984127,169701.40873015867,285024.12499999994
2020-04-19,32748,20232,30071,235884,61727.0,381.0,20605,0.4186476492340201,0.5813523507659799,3537,1310,12.0,97121.63293650797,150191.0892857143,247312.72222222228
2020-04-20,55821,37738,38444,314583,62160.0,677.0,15060,0.30525995743387047,0.6947400425661295,5769,3371,15.0,152848.46626984124,194096.5337301587,346944.99999999994
2020-04-21,54859,37391,37707,307558,62436.0,627.0,15671,0.31717535621761656,0.6828246437823835,5833,3301,15.0,151519.07539682538,189456.7162698413,340975.79166666674
2020-04-22,58466,39953,39351,319068,62725.0,625.0,14722,0.2976125497806619,0.7023874502193381,6081,3521,15.0,161198.2837301587,207973.67460317462,369171.95833333326
2020-04-23,60138,41466,39288,319013,62987.0,593.0,14814,0.29905523255813954,0.7009447674418605,6307,3587,15.0,162385.246031746,203912.0873015873,366297.33333333326
2020-04-24,60528,42331,39718,319428,63226.0,568.0,14600,0.29456863852796383,0.7054313614720362,6465,3865,15.0,155099.36706349204,193905.9107142857,349005.2777777777
2020-04-25,43680,29137,33787,265043,63196.0,339.0,18335,0.37006761529922294,0.6299323847007771,4736,2380,13.0,114972.74603174605,170213.21230158725,285185.95833333326
2020-04-26,36654,23788,31900,246021,63309.0,319.0,19751,0.39843860321558977,0.6015613967844102,3946,1797,13.0,103307.9761904762,162290.3015873016,265598.2777777778
2020-04-27,58084,39917,38960,315726,63655.0,531.0,15080,0.3037872683319903,0.6962127316680097,5883,3490,15.0,156570.38293650796,186554.49206349198,343124.875
2020-04-28,62453,43728,40465,331499,63948.0,576.0,14170,0.285179520206086,0.7148204797939139,6601,3967,15.0,161160.76388888885,197291.29166666672,358452.05555555545
2020-04-29,63754,44638,40719,337022,64105.0,512.0,14012,0.28190890069209723,0.7180910993079028,6725,4057,15.0,167737.21230158728,198947.99603174606,366685.20833333326
2020-04-30,68584,48945,42026,345613,64258.0,567.0,13214,0.26611620179236734,0.7338837982076327,7220,4732,15.0,181600.54166666663,205261.5555555556,386862.09722222225
2020-05-01,47367,32267,35613,281186,64149.0,326.0,17559,0.3501924572704972,0.6498075427295028,5057,2758,14.0,127022.22420634922,181640.77579365074,308662.99999999994
2020-05-02,56461,39599,38148,303341,64331.0,400.0,16010,0.3186450123397819,0.6813549876602181,6261,3512,14.0,133494.40476190473,189580.73412698423,323075.138888889
